### channel=id33-transformer-recipe-repair seq=46
### host=login4
### started=2026-09-10T09:10:36+0800
### ---------- output ----------
=== STAMP ===
2026-09-10T09:10:36+0800
=== EPOCHWISE MEDIANS ===
###EPOCHS T1 results/33_transformer_recipe_repair/T1/transformer_recipe_repair_T1_2026_0909_1839_ep30
01510000,0.5975049734115601
01516500,0.4794793128967285
01518862,0.6868780851364136
01532000,0.6705217361450195
01539000,0.8113100528717041
01542810,0.7371519804000854
01543000,0.8456445932388306
01543500,0.8651329278945923
01544500,0.7957378625869751
01545600,0.7720100283622742
01547700,0.6732363700866699
01548500,0.7966214418411255
01549500,0.7413449287414551
01550000,0.7934701442718506
01552000,0.7271109819412231
01552500,0.6596324443817139
01557500,0.8504467606544495
01567500,0.7650443911552429
01568000,0.8315591216087341
01580000,0.5521240234375
01583500,0.4557873010635376
01586610,0.5486956834793091
01591400,0.17001444101333618
01594950,0.7150043249130249
01596500,0.7767132520675659
01605500,0.6389776468276978
01606500,0.7066667079925537
01632000,0.5122542381286621
01632900,0.6642520427703857
01634500,0.6140302419662476
01638480,0.48341840505599976
01639500,0.6022800207138062
01644000,0.7872118353843689
01664000,0.7477208971977234
01666500,0.5679311752319336
01667500,0.770926296710968
01669000,0.6897725462913513
01669520,0.7309094667434692
02011400,0.8377411365509033
02013000,0.7706893086433411
02014000,0.8601866960525513
02015700,0.6359756588935852
02016000,0.7836973071098328
02017500,0.7193231582641602
02018000,0.7543188333511353
02027000,0.6494884490966797
02027500,0.5858625173568726
02028500,0.7011487483978271
02038850,0.5289274454116821
02046000,0.7757238149642944
02051500,0.7573750615119934
02053200,0.7230492234230042
02053800,0.8189170360565186
02055100,0.5726274251937866
02056900,0.7443891763687134
02059500,0.6701409220695496
02064000,0.8372257947921753
02065500,0.2824024558067322
02069700,0.5202574729919434
02070000,0.6276834011077881
02074500,0.5077611207962036
02077200,0.6256014108657837
02081500,0.6678906679153442
02082950,0.7547773122787476
02092500,0.8325186967849731
02096846,0.5862324833869934
02102908,0.6150449514389038
02108000,0.7648816108703613
02111180,0.6276477575302124
02111500,0.5368971228599548
02112120,0.4449138641357422
02112360,0.6695009469985962
02118500,0.5455982089042664
02125000,0.7394827008247375
02128000,0.6105068922042847
02137727,0.7118798494338989
02140991,0.7366786003112793
02143000,0.630273699760437
02143040,0.44023746252059937
02149000,0.6887232661247253
02152100,0.5907621383666992
02177000,0.5547646880149841
02178400,0.7351868748664856
02193340,0.8217880129814148
02196000,0.8794491291046143
02198100,0.5951605439186096
02202600,0.8287199139595032
02212600,0.6680636405944824
02215100,0.7620720863342285
02216180,0.5436899065971375
02221525,0.5164586305618286
02231000,0.7820206880569458
02245500,0.5123733282089233
02246000,0.8227814435958862
02296500,0.7431467175483704
02297155,-10.698761940002441
02297310,-1.3007214069366455
02298123,0.6642613410949707
02298608,0.2687229514122009
02299950,0.32773905992507935
02300700,0.0937114953994751
02342933,0.32250237464904785
02349900,0.6235132217407227
02350900,0.8011255264282227
02361000,0.7002670764923096
02363000,0.7493108510971069
02369800,0.7782225012779236
02371500,0.4934060573577881
02372250,0.5466588735580444
02374500,0.22433781623840332
02381600,0.2742840647697449
02384540,0.7179758548736572
02395120,0.09939032793045044
02415000,0.6409631371498108
02427250,0.8323784470558167
02430085,0.6405223608016968
02450250,0.5548113584518433
02464000,0.624750018119812
02464360,0.6175147294998169
02465493,-1.7009224891662598
02469800,0.7110145092010498
02472000,0.8525080680847168
02472500,0.5754599571228027
02479155,0.5507162809371948
02479300,0.7645540237426758
02479560,0.6346484422683716
02481000,0.5326818227767944
02481510,0.5944024324417114
03010655,0.7381331324577332
03011800,0.7630969285964966
03015500,0.768918514251709
03021350,0.6274734735488892
03026500,0.8251690864562988
03028000,0.8199945688247681
03049000,0.8452785015106201
03049800,0.5666549205780029
03050000,0.7793704867362976
03069500,0.8163645267486572
03070500,0.7595698833465576
03076600,0.7161550521850586
03078000,0.7473081946372986
03140000,0.7599238157272339
03144000,0.7557458281517029
03170000,0.777553915977478
03173000,0.8485767841339111
03180500,0.8033908009529114
03182500,0.8582825064659119
03186500,0.7718217968940735
03237280,0.5811176896095276
03237500,0.5741442441940308
03238500,0.6113818883895874
03241500,0.832327663898468
03280700,0.5959605574607849
03281500,0.6887343525886536
03285000,0.7346241474151611
03291780,0.4974760413169861
03338780,0.531984806060791
03340800,0.8162177801132202
03346000,0.7786426544189453
03364500,0.6331625580787659
03366500,0.4496433138847351
03368000,0.5624986290931702
03384450,0.7223448753356934
03439000,0.6641824245452881
03455500,0.33399051427841187
03456500,0.5071914196014404
03460000,0.7191078066825867
03463300,0.4675295948982239
03471500,0.768423318862915
03473000,0.8391609787940979
03479000,0.42943060398101807
03488000,0.7854819297790527
03498500,0.8056232929229736
03500000,0.6830416321754456
03500240,0.2683582305908203
03504000,0.6970646381378174
03574500,0.6433945298194885
03592718,0.24562042951583862
03604000,0.7337213158607483
04015330,0.5677280426025391
04024430,0.6528908014297485
04027000,0.5315873622894287
04040500,0.7508932948112488
04043050,0.8343357443809509
04045500,0.869676947593689
04057510,0.7854009866714478
04057800,0.31992363929748535
04059500,0.8784807920455933
04063700,0.70705246925354
04074950,0.6905363202095032
04105700,-0.71824049949646
04115265,0.5893439054489136
04122200,0.741471529006958
04122500,0.5855417251586914
04127918,0.4106695055961609
04127997,0.7328312397003174
04161580,0.6838515996932983
04185000,0.6639074087142944
04196800,0.5655010938644409
04197100,0.675871729850769
04197170,0.7408792972564697
04213000,0.5984559655189514
04213075,0.38197046518325806
04216418,0.5686130523681641
04221000,0.7816392779350281
04224775,0.7511052489280701
04233000,0.7034628987312317
04256000,0.73832106590271
04296000,0.7062726020812988
05057200,0.25444018840789795
05120500,-7.428050994873047
05291000,0.3173762559890747
05362000,0.7942990064620972
05393500,0.7632418870925903
05399500,0.5242447853088379
05408000,0.7038925886154175
05413500,0.6277016997337341
05414000,0.44146728515625
05444000,0.38311243057250977
05454000,0.49953293800354004
05458000,0.5949241518974304
05466500,0.4850640296936035
05487980,0.6461360454559326
05488200,0.6351666450500488
05489000,0.5777176022529602
05495000,0.6494051218032837
05495500,0.4308090806007385
