basin,bias_rel,phantom_low,double_frac_low,nse_clean_npz,peak_mag_rel,peak_timing_abs,nse_clean,frac_snow,aridity,p_mean,runoff_ratio,q_mean,regime
02082950,-0.09071807203539697,0.026500323454085765,0.0009124087591240876,0.5524907112121582,-0.2923316955566406,0.0,0.5525296330451965,0.0329927432325966,0.967803302924102,3.26311567419576,0.254400170055037,0.830137182424657,humid
02092500,0.257423352841738,0.09704336279211744,0.15784671532846714,0.8649614453315735,0.1742521971464157,0.0,0.8650587797164917,0.0120832517590196,0.863859620045243,3.78279123887748,0.265666081825627,1.00495932679689,humid
02096846,0.027822667032669713,0.03705887708622672,0.041970802919708027,0.7176832556724548,-0.2544616684317589,0.0,0.7177282571792603,0.0392525452032849,0.953360167435634,3.34620396988364,0.223716993100491,0.748602690443294,humid
02102908,-0.05003453803246339,0.025608888448377252,0.0,0.5205003023147583,-0.2181600406765937,0.0,0.5205608606338501,0.0235111757954398,0.900045746889787,3.35506776180698,0.401272403340989,1.34629610415216,humid
02108000,0.13867765261840043,0.1073390918231668,0.05748175182481752,0.9020463228225708,-0.0734900683164596,0.0,0.9020512700080872,0.0092819261110396,0.841870741382891,3.81036824093087,0.295389376895624,1.12554230043144,humid
02111180,0.12643835562910583,0.0727568843726351,0.06934306569343066,0.6275782585144043,0.0092279445379972,0.0,0.6275324821472168,0.0460568781002514,0.732206984794584,3.71566872005476,0.464919806052248,1.72748798068226,humid
02111500,0.021027325431186503,0.057156414892350176,0.0009124087591240876,0.47177207469940186,0.0039050849154591,0.0,0.4717653393745422,0.0523692516718814,0.821961649984469,3.58283504449008,0.381828306181278,1.36802783636457,humid
02112120,-0.14748015848328644,0.0008506143731708895,0.0,0.6729898452758789,-0.2546084523200989,0.0,0.6730355620384216,0.0524049751607388,0.786696230163691,3.55881587953457,0.374448258978373,1.33259241011631,humid
02112360,-0.07762821681275192,0.039764339869992685,0.0,0.5794917345046997,-0.200692817568779,0.0,0.5794224739074707,0.0531136274470014,0.831553240558369,3.44035318275154,0.416001178699835,1.43119097916837,humid
02118500,0.13105263741284354,0.06473205846739995,0.0,0.6820598840713501,-0.1086335107684135,0.0,0.6820685863494873,0.0413708350211441,0.816058072432033,3.49772073921971,0.324665515238225,1.13558930595819,humid
02125000,0.044298033320618685,0.00827951556975531,0.09945255474452555,0.48547792434692383,-0.1703558266162872,0.0,0.4854292273521423,0.0247912331690011,0.95210170252129,3.23351813826146,0.297263281881278,0.961206213802243,humid
02128000,0.08973139833675545,0.028766420379031536,0.04470802919708029,0.5647163391113281,-0.1518449187278747,0.0,0.5647597312927246,0.0256704433801346,0.90650173149823,3.24067624914442,0.291364419808836,0.944217755120238,humid
02137727,-0.11803776230823998,0.0660527993880788,0.07937956204379562,0.6846160888671875,-0.2090984731912613,0.0,0.6846078634262085,0.0405315310761795,0.69481449122579,3.981318275154,0.440334441541321,1.75311155928819,humid
02140991,0.019458775982255667,0.08485957665627422,0.1104014598540146,0.7129458785057068,-0.007233225274831,0.0,0.7129763960838318,0.0420384668349782,0.742629963736516,3.72775496235455,0.458561220014741,1.70940386345331,humid
02143000,-0.11434529314906379,0.008959699075927391,0.0,0.6927891969680786,-0.2082000374794006,0.0,0.6926963925361633,0.0313262156816952,0.787593203002362,3.70449828884326,0.378918089370586,1.40370141368509,humid
02143040,-0.13609629572654927,0.006146908803747143,0.0,0.6106172800064087,-0.1999259665608406,0.0,0.6105579137802124,0.0345610698452001,0.694642345625586,4.04584941820671,0.415980467520532,1.6829943325033,humid
02149000,-0.044209598101130905,0.10144330193826047,0.09124087591240876,0.7254969477653503,-0.2410057783126831,0.0,0.7254407405853271,0.029590457635321,0.78346569821652,3.82159753593429,0.397696961482616,1.51983772805052,humid
02152100,0.25553814247196394,0.08102180954299883,0.01916058394160584,0.5512889623641968,0.2843098640441894,0.0,0.5513672828674316,0.0300807469143999,0.824102823348621,3.77346201232033,0.345189246806359,1.30255850988526,humid
02177000,-0.06964692022658933,0.012155778975539148,0.0,0.8204174637794495,-0.1060454994440078,0.0,0.8203891515731812,0.0267395574591906,0.523147061580375,5.37447775496235,0.542573791690081,2.91605077386392,humid
02178400,-0.07739115132856414,0.00512311417333999,0.0,0.7935663461685181,-0.0962077416479587,0.0,0.7934876680374146,0.033836252850455,0.539438246357037,5.21309240246407,0.549718105569608,2.86573127964186,humid
02193340,-0.037011937548692,0.01887490747213221,0.0036496350364963502,0.7258784174919128,-0.2960744053125381,0.0,0.7258142232894897,0.0127448828346305,0.923836752442295,3.27406570841889,0.219134856200753,0.717461918206189,humid
