basin,n_peaks,peak_mag_rel,peak_timing_abs,peak_shape_corr_med,n_wy,viol_adv,viol_clean,rc_adv_med,rc_clean_med,frac_snow,runoff_ratio
03456500,55,-0.061729513108730316,0.0,0.9935828675832471,10,0.0,0.0,0.5506093502044678,0.5167163610458374,0.0638736766495558,0.542821012854399
03460000,48,-0.12449786812067032,0.0,0.989389324111861,10,0.0,0.0,0.5198865532875061,0.4911840856075287,0.077253343718732,0.488063027369518
03463300,63,-0.21169039607048035,0.0,0.9923828602479683,10,0.0,0.0,0.4927346110343933,0.6099775433540344,0.0849163900758962,0.670284579863615
03471500,53,0.10859523713588715,0.0,0.9885538807276429,10,0.0,0.0,0.47893044352531433,0.4268091320991516,0.0838711696088708,0.386908002686267
03473000,54,-0.12720544636249542,0.0,0.9878828373895736,10,0.0,0.0,0.4701805114746094,0.43540212512016296,0.0832667330515825,0.415810557583452
03479000,56,-0.14525647461414337,0.0,0.9933953041563509,10,0.0,0.0,0.4196268916130066,0.4530222415924072,0.0904171237520879,0.456928974815457
03488000,54,-0.2882802188396454,0.0,0.9857364380279643,10,0.0,0.0,0.3623691201210022,0.4013199806213379,0.0815490515140822,0.376021978878748
03498500,52,0.041291335597634315,0.0,0.9827805088355743,10,0.0,0.0,0.5076137185096741,0.44734954833984375,0.0343707789266315,0.416642224331698
03500000,57,-0.066041499376297,0.0,0.9965676405741022,10,0.0,0.0,0.519264817237854,0.5224632024765015,0.0292489179120406,0.481630285306863
03500240,56,-0.06459733843803406,0.0,0.9949284314869513,10,0.0,0.0,0.45125189423561096,0.4425327181816101,0.029394718558517,0.459278556100656
03504000,59,-0.025139102712273598,0.0,0.9951147468393315,10,0.0,0.0,0.6047796010971069,0.6003323197364807,0.0589912291417263,0.657177368049606
03574500,53,-0.05505913123488426,0.0,0.9925558720429982,10,0.0,0.0,0.6157767176628113,0.5428550243377686,0.0200681785915394,0.458075297069284
03592718,69,0.2439461648464203,0.0,0.9903393204028197,10,0.0,0.0,0.5763229131698608,0.4525328278541565,0.0149109120314144,0.352112361218698
03604000,53,0.14520105719566345,0.0,0.9914872092016933,10,0.0,0.0,0.4807422161102295,0.41854751110076904,0.0255990760932844,0.388741417962628
04015330,49,-0.013795286417007446,0.0,0.9631480695262625,10,0.0,0.0,0.5516204833984375,0.4671173691749573,0.196079390089318,0.431649939229559
04024430,42,-0.30091072618961334,0.0,0.9814840926439499,10,0.0,0.0,0.3944171667098999,0.32811522483825684,0.1608667587394,0.359583937529154
04027000,37,-0.23182332515716553,0.0,0.9767772321925573,10,0.0,0.0,0.3739669919013977,0.35119688510894775,0.235000084730923,0.350685622277024
04040500,23,-0.4100887179374695,0.0,0.9632558469543341,10,0.0,0.0,0.42901164293289185,0.4029746651649475,0.309607600434067,0.439473072380403
04043050,33,-0.2300843447446823,0.0,0.9767974802715587,10,0.0,0.0,0.7044757604598999,0.681011974811554,0.299401075000363,0.60234716182556
04045500,11,-0.00044519081711769104,3.0,0.9260676380645222,10,0.0,0.0,0.3906722664833069,0.46100983023643494,0.300079815277018,0.421554849547542
04057510,22,-0.42072005569934845,0.0,0.9644509358870901,10,0.0,0.0,0.402776300907135,0.3826993703842163,0.253134692886369,0.370732093589316
