basin,D_record,D_exp2,D_abs_diff_vs_exp2,whole_mean_abs_max,whole_std_rel_max,whole_corr_abs_max,whole_corr_abs_median,delta_abs_p50,delta_abs_p90,delta_abs_p99,rolling_mean_abs_p50,rolling_mean_abs_p90,rolling_mean_abs_p99,rolling_mean_abs_max,rolling_std_rel_p50,rolling_std_rel_p90,rolling_std_rel_p99,rolling_std_rel_max,rolling_corr_abs_p50,rolling_corr_abs_p90,rolling_corr_abs_p99,rolling_corr_abs_max
02372250,0.14303690195083618,0.1429552435874939,8.165836334228516e-05,0.008260257988674108,0.005386549915352209,0.01827627712028662,0.01257152076347473,0.09589949250221252,0.10000002384185791,0.10000002384185791,0.044480210032176094,0.07168744847178458,0.08497964920379497,0.092049122174029,0.012588051294676137,0.041914495107849725,0.08004798777387857,0.09719699345712614,0.02349187397530217,0.05883154688176683,0.09020162017155674,0.11112151355680344
02374500,0.2983585596084595,0.2979879379272461,0.0003706216812133789,0.013627931393456832,0.004108203766940545,0.011718805820561784,0.008206026407001105,0.09573554992675781,0.10000002384185791,0.10000002384185791,0.03651639130656366,0.06751108108571283,0.09007000906103187,0.09446602044282135,0.011197795526331078,0.03998870694504981,0.07364928931378985,0.11303155664547514,0.018813890304306424,0.06639667417231793,0.10073422289218122,0.11601100696780942
02381600,0.28478389978408813,0.28471535444259644,6.854534149169922e-05,0.015337622200263079,0.008169716003815454,0.010502692915532012,0.004705444616490362,0.08096611499786377,0.10000002384185791,0.10000002384185791,0.030689774150097833,0.055871257001051264,0.08087240899050677,0.08296466847812689,0.014349111756766036,0.035995223350512355,0.05376398651574308,0.06504598731795325,0.01223877789625561,0.036962657026310686,0.05581044466744576,0.07298778528209207
02384540,0.21368777751922607,0.21361792087554932,6.985664367675781e-05,0.007312333550483718,0.004998252273806226,0.011243186621699153,0.004325708511267734,0.0943613052368164,0.10000002384185791,0.10000002384185791,0.020948094736646716,0.04675058718080875,0.05841617406132042,0.065135452206488,0.016660149706297436,0.038384603236915366,0.06570975290030695,0.08732896360706593,0.011459170859413559,0.04002808394171471,0.06778050162466698,0.09894075173617035
02395120,0.24223315715789795,0.24224364757537842,1.049041748046875e-05,0.007028030886679915,0.0052690279357088,0.025551691962441447,0.019136212178341924,0.08904552459716797,0.10000002384185791,0.10000002384185791,0.028131229637397677,0.06043751936267922,0.07559042123539579,0.0843915395990566,0.01404993178752123,0.03308850957382057,0.0581645641516394,0.07053911206392124,0.016866628873753772,0.04673709205674258,0.07125128691345013,0.09708772054528256
02415000,0.09295523166656494,0.09301602840423584,6.079673767089844e-05,0.011964900876582807,0.004599399249801189,0.01973980514512888,0.0119949154687892,0.0833972692489624,0.10000002384185791,0.10000002384185791,0.0338890906837252,0.05751271581760159,0.09120287163445244,0.09412273138209623,0.011836580600938056,0.027574118310282447,0.04688815746529536,0.06338263008357138,0.01515273689126126,0.03766325190220664,0.05701766396723068,0.0710186002509023
02427250,0.23783326148986816,0.237840473651886,7.212162017822266e-06,0.010848365518868003,0.0052115436884941,0.012926288912237627,0.007895891216092132,0.09461236000061035,0.10000002384185791,0.10000002384185791,0.027991223100710796,0.05924626158343421,0.07392086858550706,0.078797519400164,0.015051596007645785,0.03539542213439892,0.06568523439003317,0.07989677706281811,0.013330378237434062,0.04835598919144751,0.0785794441327381,0.09899085928989075
02430085,0.20333164930343628,0.2033076286315918,2.4020671844482422e-05,0.010881661131761394,0.004915808516550276,0.019709460858751332,0.006927905653470921,0.09440524131059647,0.10000002384185791,0.10000002384185791,0.035410693370633635,0.06907264455601023,0.08694787775476771,0.09507260030066526,0.013764759141534338,0.03956791274080336,0.05599776326971863,0.06225979641512469,0.012344003601548414,0.04491628924899754,0.07117118289839125,0.09254325509230849
02450250,0.16182005405426025,0.16174042224884033,7.963180541992188e-05,0.014843781295573816,0.002151308525571836,0.02475853404419981,0.007584200788051564,0.07317890226840973,0.10000002384185791,0.10000002384185791,0.021169900080120124,0.041153687017935314,0.05063152953430461,0.05462780843178433,0.009485089690176838,0.030950068647395294,0.04510193768649811,0.059629933571041724,0.011171705494862683,0.035119893329886354,0.06498816977184863,0.07736143997994634
02464000,0.18989938497543335,0.1899915337562561,9.21487808227539e-05,0.010723126496387153,0.003167782935246713,0.007916451372500743,0.004808766443246272,0.09176445007324219,0.10000002384185791,0.10000002384185791,0.030774345945704884,0.05812760401931079,0.07640401596686353,0.08333436465925637,0.012528871790597048,0.03378513891721737,0.053331906843842716,0.06668199756081847,0.012886418099865238,0.04241766051634904,0.06593161530719935,0.09211506886265822
