### channel=zhenjiang-oyv-qual seq=25
### host=login4
### started=2026-08-21T15:28:18+0800
### ---------- output ----------
=== A. IDENTITIES ===
1c4859cd7e20470251874005fb32fbc3d5aa1998ba1d408b9377d6f546c36d72  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/ladder_cost_summary.csv
71d769de46c3eb8b3c0a87f399810200f316c277334ebe7a011bad6afb653908  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/station_ranking.csv
=== B. HEADER ===
measured_against,target,condition,horizon_hours,median_cost_m,minimum_cost_m,maximum_cost_m,median_relative_cost,positive_fold_years,fold_count
=== C. TARGET-GAUGE FAILURE COSTS, ALL REPORTED HORIZONS ===
hidden_target,jiangyin,hidden_target_minus_zhenjiang,24,0.010602022611167716,-0.04944174338744228,0.04327775486021396,0.013485637298653846,6,8
hidden_target,zhenjiang,hidden_target_minus_datong,1,0.0013879095212302774,-0.0032205229341287465,0.006671713597752094,0.036963933359855164,6,8
hidden_target,zhenjiang,hidden_target_minus_datong,3,0.0009483378357479713,-0.002902384127902065,0.0037775327255501097,0.02540732224130818,6,8
hidden_target,zhenjiang,hidden_target_minus_datong,6,0.000795574034311736,-0.00372547681670031,0.0048762459219843235,0.016470739700239934,7,8
hidden_target,zhenjiang,hidden_target_minus_datong,12,0.006904749361671431,-0.009745150863709973,0.01806904866599654,0.015281270304212571,6,8
hidden_target,zhenjiang,hidden_target_minus_datong,24,0.004565197887527905,-0.00940277280681065,0.010404792004451907,0.011304016498573847,6,8
hidden_target,zhenjiang,hidden_target_minus_jiangyin,1,0.0037973478512107438,-0.0006181261981978575,0.014884121969745971,0.08326071380223188,6,8
hidden_target,zhenjiang,hidden_target_minus_jiangyin,3,0.005082380319384636,-0.00036218390978554754,0.0077957425992700065,0.11060534106814832,6,8
hidden_target,zhenjiang,hidden_target_minus_jiangyin,6,0.0018252708028095761,-0.005618985990683233,0.005176539114983617,0.037563693783546855,5,8
hidden_target,zhenjiang,hidden_target_minus_jiangyin,12,-0.013127669029108696,-0.017166905615630473,-0.0053999901054926636,-0.033402898599321204,0,8
hidden_target,zhenjiang,hidden_target_minus_jiangyin,24,-0.007412076290330971,-0.02442692459859333,0.00635015923868526,-0.018018127793292597,1,8
hidden_target,zhenjiang,hidden_target_minus_nanjing,1,0.004910516503189445,-0.0021709862070455783,0.012232547009964866,0.12207515012743783,7,8
hidden_target,zhenjiang,hidden_target_minus_nanjing,3,0.004522080116122257,-0.0018930988615987222,0.012148334542407265,0.09879572943814609,6,8
hidden_target,zhenjiang,hidden_target_minus_nanjing,6,0.0029086925941445886,0.0005798234676846689,0.01211573360153878,0.0530194928496093,8,8
hidden_target,zhenjiang,hidden_target_minus_nanjing,12,0.0065458124584554245,-0.008667140460632272,0.01655628161899969,0.016326867610993077,6,8
hidden_target,zhenjiang,hidden_target_minus_nanjing,24,0.004405623008643722,-0.007350626793068887,0.01646464561874217,0.011503738848829277,5,8
hidden_target,zhenjiang,hidden_target_minus_wusongkou,1,0.0004980922001027472,-0.00389537762743241,0.007275633647503606,0.011187763615783481,5,8
hidden_target,zhenjiang,hidden_target_minus_wusongkou,3,0.0003196521117167436,-0.0014076092925066966,0.005473292190817339,0.009213610626664663,5,8
hidden_target,zhenjiang,hidden_target_minus_wusongkou,6,0.0016803937248038511,-0.004185477864263543,0.008253357450730334,0.036337257741993645,7,8
hidden_target,zhenjiang,hidden_target_minus_wusongkou,12,-0.0049204366586766135,-0.015282829474313725,0.02256434231352042,-0.0108692588588708,3,8
hidden_target,zhenjiang,hidden_target_minus_wusongkou,24,0.011012051255125416,-0.0014129121997688288,0.018965912031604498,0.02433635493277804,7,8
hidden_target,zhenjiang,hidden_target_minus_xuliujing,1,0.0004548146298858913,-0.0035078067228613598,0.0033807170843776248,0.008904998083111067,5,8
hidden_target,zhenjiang,hidden_target_minus_xuliujing,3,-0.00048003283395957677,-0.00392191966928809,0.002336803653434232,-0.010833880458217114,3,8
hidden_target,zhenjiang,hidden_target_minus_xuliujing,6,0.002295755656995045,-0.0008165923423897464,0.00569523020399321,0.03904541866870946,7,8
hidden_target,zhenjiang,hidden_target_minus_xuliujing,12,-0.01803971301363455,-0.029775088251656256,-0.010861219264605815,-0.042999080827467256,0,8
hidden_target,zhenjiang,hidden_target_minus_xuliujing,24,-0.014065003925395073,-0.020080996540528306,-0.003321681450111691,-0.03652276544036295,0,8
=== E. MULTI-STATION LOSSES, ALL REPORTED HORIZONS ===
hidden_target,jiangyin,endpoints_only,1,0.028152449063229903,0.020132761886454673,0.035791205684196845,0.787516291968773,8,8
hidden_target,jiangyin,endpoints_only,3,0.02289124051107616,0.014371538720282902,0.02905758376209097,0.5563130820911535,8,8
hidden_target,jiangyin,endpoints_only,6,0.014847074380522811,0.007906872997380264,0.017877017478010033,0.22147060946893807,8,8
hidden_target,jiangyin,endpoints_only,12,0.013016949885681917,-0.010812425488732291,0.027867867351710818,0.016070975911211108,5,8
hidden_target,jiangyin,endpoints_only,24,-0.013669937269052745,-0.040802994949950155,0.009885980486869783,-0.01818361952538509,1,8
hidden_target,jiangyin,hidden_target_both_nearest,1,0.016139236816993852,0.011485920640161313,0.026479890393382357,0.4578330501133342,8,8
hidden_target,jiangyin,hidden_target_both_nearest,3,0.011041512289796052,0.007023454402606797,0.016873596714000513,0.2744155652790888,8,8
hidden_target,jiangyin,hidden_target_both_nearest,6,0.005623927947607937,0.001704832279230968,0.008167994062238712,0.08451016818094775,8,8
