order,basin_id,seed,arm_id,events_passed,multiclass_brier,stable_true_negative_log_probability,source_probability_path,source_probability_bytes,source_probability_sha256
27,09512280,0,C,4,0.1919704073224817,0.3762533291214305,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/09512280_s0.npz,96295,4d4992a86e07a04ec78b51f8b59a3fdfd3a2b40aff186b0bb7295539e679e72c
28,09512280,1,C,4,0.1437922794435053,0.2809429916327794,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/09512280_s1.npz,96293,246a5df4f702c2432267ae860e56bf7e34650af28146675facef93428c6e3106
29,11141280,0,C,3,0.5234163435413842,0.9061018846073964,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/11141280_s0.npz,96517,cf811adcb43c713d81772c93e450814fe1b3ecdfdc93bd51bed217bcb7fadccf
30,11141280,1,C,2,0.4811136748990186,0.8487237384022499,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/11141280_s1.npz,96466,efc63fa140a53523b98f330aa603b0f707e81b1552c0f5a3b3e3c773b1fefd7b
31,08171300,0,C,5,0.2444226371982643,0.4711109969634035,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08171300_s0.npz,95125,5a1b85a5f2935eddd544ab2ef34755d3d79528491d4186eed2b0db4a8b2a215b
32,08171300,1,C,4,0.228944247970551,0.4199061576321608,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08171300_s1.npz,95214,939f5c885794c0ff0945c0ff4211fddbfa8a31235c082f74a65f49bb3aee979e
33,09107000,0,C,2,0.5935951096642721,1.0894097525075574,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/09107000_s0.npz,81620,31e8f63408012aee597f9e86d2a2899b1ad33c12000bdabee9e006c4d08ea5ff
34,09107000,1,C,2,0.4867001302207044,0.8575722655724456,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/09107000_s1.npz,81505,046bd03180c31aa64797f9293de3d0f7461f865b3e10a0f7f90c3a9cbfd16c96
35,14303200,0,C,2,0.4556840074253352,0.7057070584773961,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/14303200_s0.npz,82679,60a2bb185bf9e0f0fcdcde89ecce8ac2200234a0355b730914a30946627efa86
36,14303200,1,C,2,0.4069067582686337,0.617509172708281,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/14303200_s1.npz,82647,6e2009ae66a35597bcb38f594f2dedb063fe67b3d232c95284e00598dad8f563
37,11473900,0,C,2,0.4654250923435553,1.0413050962117938,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/11473900_s0.npz,87008,11220b4d646ef32b06d9d3281e05897ad96e549bbd9c02f8099f5b0f5cbe4a80
38,11473900,1,C,2,0.4776257938326965,0.8541589298467176,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/11473900_s1.npz,86925,52832228c23d468aa0f9c8c679476d7626d6c2d675f906077824e824df5ce43b
